代码,名称,板块,今日涨幅(%),3日涨幅(%),5日涨幅(%),回踩天数,今日量/爆发量,爆发日强度,今日成交额(亿)
301160,翔楼新材,特钢Ⅱ,-1.34,11.3,16.46,2 天,16.5% (预估 32.9%),放量 5.0倍,1.81
601058,赛轮轮胎,汽车零部件,-0.51,1.39,-5.28,2 天,16.5% (预估 33.0%),放量 2.2倍,1.84
300790,宇瞳光学,计算机设备,-0.78,-4.86,2.6,4 天,17.0% (预估 34.0%),放量 3.5倍,4.39
002072,凯瑞德,贸易Ⅱ,-0.32,-1.29,9.25,4 天,17.4% (预估 34.8%),放量 2.1倍,0.73
301303,真兰仪表,通用设备,-1.65,-3.84,6.53,4 天,18.0% (预估 36.0%),放量 3.3倍,0.91
688333,铂力特,通用设备,-2.35,-10.24,29.25,3 天,18.4% (预估 36.8%),放量 2.6倍,6.15
600131,国网信通,IT服务Ⅱ,-2.25,0.99,-0.13,2 天,19.2% (预估 38.4%),放量 1.7倍,0.58
601669,中国电建,基础建设,-2.01,-1.21,1.04,4 天,19.2% (预估 38.4%),放量 2.4倍,3.86
300400,劲拓股份,自动化设备,-2.53,-9.36,-9.79,6 天,19.5% (预估 39.1%),放量 2.0倍,2.34
002044,美年健康,医疗服务,-2.53,-3.57,6.93,3 天,20.3% (预估 40.6%),放量 2.9倍,3.59
300756,金马游乐,专用设备,-3.12,-6.05,-9.49,5 天,20.5% (预估 40.9%),放量 2.1倍,0.63
300100,双林股份,汽车零部件,-1.9,-7.13,0.38,3 天,20.6% (预估 41.2%),放量 2.1倍,1.85
002723,小崧股份,照明设备Ⅱ,-0.44,4.49,10.33,3 天,20.7% (预估 41.4%),放量 2.8倍,0.57
600178,东安动力,汽车零部件,-2.71,2.98,-4.11,2 天,20.9% (预估 41.8%),放量 3.0倍,0.55
603166,福达股份,汽车零部件,-2.13,-5.34,5.47,4 天,21.6% (预估 43.2%),放量 5.7倍,1.62
002972,科安达,轨交设备Ⅱ,-0.75,2.27,8.23,5 天,21.7% (预估 43.3%),放量 6.3倍,1.18
300418,昆仑万维,数字媒体,-0.74,-3.4,7.59,3 天,22.5% (预估 45.0%),放量 2.9倍,12.65
688191,智洋创新,电网设备,-2.08,-7.56,-0.41,5 天,22.6% (预估 45.2%),放量 1.8倍,1.2
688783,西安奕材-U,半导体,-1.4,-5.3,1.53,4 天,22.9% (预估 45.7%),放量 1.7倍,6.4
600089,特变电工,电网设备,-1.73,0.09,-3.19,2 天,22.9% (预估 45.8%),放量 2.1倍,15.33
300697,电工合金,工业金属,-0.17,-7.94,2.94,3 天,23.0% (预估 46.0%),放量 4.0倍,1.8
000955,欣龙控股,纺织制造,-2.97,-1.41,16.39,3 天,23.1% (预估 46.1%),放量 5.1倍,0.7
000034,神州数码,IT服务Ⅱ,-1.35,-6.7,-6.31,5 天,23.3% (预估 46.6%),放量 1.7倍,3.96
688721,龙图光罩,半导体,-0.63,-2.19,0.76,4 天,23.4% (预估 46.8%),放量 2.2倍,1.01
301525,儒竞科技,通用设备,-1.22,-5.02,2.58,3 天,23.5% (预估 47.0%),放量 1.7倍,0.54
301029,怡合达,自动化设备,-2.2,-10.76,-8.76,6 天,23.7% (预估 47.3%),放量 2.4倍,3.37
002486,嘉麟杰,服装家纺,-5.04,-5.44,-2.16,3 天,23.9% (预估 47.9%),放量 4.3倍,0.59
300052,中青宝,游戏Ⅱ,-2.75,7.32,3.83,2 天,24.6% (预估 49.2%),放量 3.4倍,2.17
688633,星球石墨,专用设备,-0.82,-0.22,-1.26,2 天,24.6% (预估 49.3%),放量 1.7倍,0.99
300518,新迅达,互联网电商,-0.16,3.35,16.45,4 天,24.7% (预估 49.4%),放量 2.3倍,1.58
002145,钛能化学,化学原料,-1.05,1.07,1.94,2 天,24.9% (预估 49.8%),放量 3.5倍,2.2
300351,永贵电器,轨交设备Ⅱ,-2.5,-9.68,2.57,4 天,25.1% (预估 50.3%),放量 3.5倍,2.41
002136,安 纳 达,化学原料,-3.31,3.14,-1.82,2 天,25.4% (预估 50.7%),放量 3.4倍,0.84
688432,有研硅,半导体,-1.57,-6.33,-6.88,6 天,25.4% (预估 50.7%),放量 2.4倍,4.64
600835,上海机电,专用设备,-0.52,-5.8,3.13,3 天,25.4% (预估 50.9%),放量 2.1倍,0.81
300553,集智股份,通用设备,-0.27,0.98,12.1,3 天,25.5% (预估 50.9%),放量 2.1倍,1.52
300730,科创信息,软件开发,-0.7,-0.49,8.05,3 天,25.6% (预估 51.3%),放量 2.2倍,0.83
300066,三川智慧,通用设备,-4.29,-10.22,-7.96,3 天,25.7% (预估 51.4%),放量 3.8倍,2.31
301373,凌玮科技,化学制品,-0.97,-7.73,5.16,4 天,25.7% (预估 51.4%),放量 1.7倍,5.03
002827,高争民爆,化学制品,-2.01,0.47,-0.69,2 天,26.1% (预估 52.2%),放量 2.9倍,0.63
601319,中国人保,保险Ⅱ,-2.0,3.31,-1.15,2 天,26.2% (预估 52.4%),放量 2.2倍,2.99
002851,麦格米特,其他电源设备Ⅱ,-0.83,-4.4,4.87,4 天,26.4% (预估 52.7%),放量 2.1倍,28.85
688065,凯赛生物,化学制品,-1.37,13.57,15.61,2 天,26.4% (预估 52.8%),放量 2.9倍,2.04
300921,南凌科技,通信服务,-2.24,-3.95,3.14,5 天,26.6% (预估 53.2%),放量 3.5倍,1.55
603358,华达科技,汽车零部件,-0.48,0.2,5.84,3 天,26.8% (预估 53.5%),放量 2.6倍,3.07
688312,燕麦科技,专用设备,-0.39,-1.73,6.43,4 天,26.8% (预估 53.6%),放量 1.9倍,2.73
300828,锐新科技,通用设备,-1.5,-5.92,-2.45,3 天,27.0% (预估 53.9%),放量 2.3倍,0.74
605168,三人行,广告营销,-0.11,4.1,13.92,2 天,27.2% (预估 54.4%),放量 2.9倍,2.72
300911,亿田智能,厨卫电器,-2.68,5.69,1.26,1 天,28.0% (预估 56.1%),放量 1.9倍,0.84
600893,航发动力,航空装备Ⅱ,-2.95,0.26,-0.94,2 天,28.1% (预估 56.1%),放量 1.6倍,6.12
688277,天智航-U,医疗器械,-1.04,0.42,-0.16,4 天,28.2% (预估 56.4%),放量 2.0倍,0.82
