板块,涨跌幅,amount,突破标的,相对强弱(X),动量加速度(Y),突破动能得分,1日先锋,核心中军
IT服务Ⅱ,-3.443219650767644,34957652859.0,0,-1.6517056623918391,1.0735843128076863,5,科远智慧 (+6.8%),紫光股份 (76.1亿)
一般零售,-1.0298209606891626,11904637496.0,1,0.761693027686642,1.0259484482519625,15,宁波中百 (+10.0%),小商品城 (28.3亿)
专业工程,-2.3071768906908483,8269802572.0,0,-0.5156629023150436,1.0098377697404257,5,圣晖集成 (+2.3%),中国化学 (8.7亿)
专业服务,-0.5176434857874861,1935852800.0,0,1.2738705025883186,0.9456253125260653,5,中国汽研 (+5.6%),中国汽研 (6.6亿)
专业连锁Ⅱ,-3.0813770206203586,805761500.0,0,-1.289863032244554,0.9068644444572229,5,爱婴室 (+-0.5%),爱施德 (4.1亿)
专用设备,-1.912788514441571,33871780675.0,0,-0.12127452606576639,1.072188894334457,5,卓郎智能 (+5.3%),英维克 (57.1亿)
个护用品,-1.392274681248574,627180966.0,0,0.39923930712723066,0.8957846178760686,5,诺邦股份 (+2.8%),中顺洁柔 (1.3亿)
中药Ⅱ,-1.319795946722149,8884815215.0,0,0.4717180416536557,1.0130099151630525,5,太龙药业 (+2.0%),众生药业 (15.0亿)
乘用车,-2.495150481199283,8240880096.0,0,-0.7036364928234782,1.009682839996259,5,比亚迪 (+0.1%),比亚迪 (33.6亿)
互联网电商,-2.3707094718875186,3637620680.0,0,-0.5791954835117139,0.97351946157853,5,跨境通 (+1.8%),跨境通 (14.0亿)
休闲食品,0.054666922326325515,2460606226.0,0,1.84618091070213,0.9562322837833062,5,黑芝麻 (+4.2%),来伊份 (4.8亿)
体育Ⅱ,-0.49785248176678154,1645111520.0,0,1.2936615066090231,0.9384287079098321,5,中体产业 (+1.4%),中体产业 (15.5亿)
保险Ⅱ,-1.8510215389121814,9833295328.0,0,-0.059507550536376685,1.017495326319571,5,中国人寿 (+-1.3%),中国平安 (52.1亿)
元件,-3.125408923971062,80270637568.0,0,-1.3338949355952574,1.11034420216479,5,*ST东晶 (+5.0%),东山精密 (166.8亿)
光伏设备,-0.0864442097033959,32111171096.0,4,1.7050697786724087,1.0698284251166106,45,协鑫集成 (+10.1%),协鑫集成 (38.4亿)
光学光电子,-2.9999733789275513,43974533584.0,0,-1.2084593905517467,1.083731975808004,5,*ST宇顺 (+5.0%),三安光电 (74.0亿)
其他家电Ⅱ,-2.7802809686874452,165171760.0,0,-0.9887669803116406,0.8367820544091497,5,奥佳华 (+-2.1%),荣泰健康 (1.1亿)
其他电子Ⅱ,-0.04034268939589013,16646252520.0,1,1.7511712989799146,1.0407740350814232,15,可立克 (+10.0%),深圳华强 (25.6亿)
其他电源设备Ⅱ,-2.316757001535993,28069524676.0,0,-0.5252430131601884,1.063879763835799,5,科士达 (+7.1%),麦格米特 (45.9亿)
养殖业,3.1820402360058426,7671939336.0,2,4.9735542243816475,1.0065193315896375,25,天邦食品 (+10.0%),牧原股份 (25.4亿)
军工电子Ⅱ,-4.2636442583383465,20406924856.0,0,-2.472130269962542,1.0497814855830698,5,*ST天箭 (+-1.1%),航天发展 (44.8亿)
农业综合Ⅱ,-2.0654044750430307,102066888.0,0,-0.27389048666722604,0.8154956798519705,5,辉隆股份 (+-2.1%),辉隆股份 (1.0亿)
农产品加工,-6.700473499210347,3191197092.0,0,-4.908959510834543,0.9677293709761979,5,安德利 (+5.3%),中粮糖业 (10.7亿)
农化制品,-2.2181876476502516,22069756384.0,0,-0.4266736592744469,1.0532455311042963,5,百傲化学 (+3.5%),盐湖股份 (56.6亿)
冶钢原料,-1.6995396291896656,2920741680.0,0,0.09197435918613905,0.9638131760015091,5,广东明珠 (+4.9%),大中矿业 (11.3亿)
出版,-1.712880620326577,3439945016.0,0,0.07863336804922771,0.9710486127018306,5,时代出版 (+1.7%),粤 传 媒 (16.7亿)
动物保健Ⅱ,-1.925680693156828,991879352.0,0,-0.13416670478102333,0.916054286989154,5,中牧股份 (+-1.0%),生物股份 (4.2亿)
包装印刷,-1.6028393134938366,11104503396.0,1,0.1886746748819681,1.02287163279382,15,金富科技 (+10.0%),顺灏股份 (28.4亿)
化妆品,-1.9395222386640318,772409020.0,0,-0.14800825028822717,0.9049950420618849,5,丸美生物 (+-1.1%),珀莱雅 (3.2亿)
化学制品,-0.1420543720309775,37956711185.0,6,1.6494596163448272,1.077224140545219,65,和远气体 (+10.0%),多氟多 (32.9亿)
化学制药,-2.54476652870211,23716292491.0,2,-0.7532525403263055,1.0564274516530383,25,昂利康 (+10.0%),恒瑞医药 (50.6亿)
化学原料,-1.2700406773602053,22102655428.0,0,0.5214733110155994,1.0533114023940067,5,滨化股份 (+4.1%),宝丰能源 (21.2亿)
化学纤维,-1.595033146710022,6008631142.0,1,0.1964808416657826,0.9957128030335203,15,泰和新材 (+10.0%),泰和新材 (10.9亿)
医疗器械,-1.6169497322505961,6598810652.0,0,0.17456425612520854,0.9998560289078143,5,九安医疗 (+1.2%),九安医疗 (32.9亿)
医疗服务,-2.929340915130535,12847282676.0,0,-1.1378269267547305,1.029318319984889,5,美年健康 (+0.5%),药明康德 (63.8亿)
医疗美容,-1.4285714285714235,32715988.0,0,0.36294255980438117,0.7651819763118903,5,*ST美谷 (+-1.4%),*ST美谷 (0.3亿)
医药商业,-1.28650940305714,3907080498.0,0,0.5050045853186647,0.976679560290485,5,一心堂 (+2.1%),重药控股 (7.5亿)
半导体,-1.5007422577487919,93935025760.0,0,0.2907717306270128,1.1172958041783023,5,德明利 (+6.2%),兆易创新 (148.3亿)
厨卫电器,-2.8444999015206256,471767332.0,0,-1.052985913144821,0.8831925680602423,5,老板电器 (+-1.4%),日出东方 (1.3亿)
商用车,-1.8549031713073736,5131674024.0,0,-0.06338918293156892,0.9887361893258596,5,福田汽车 (+0.0%),江淮汽车 (21.0亿)
地面兵装Ⅱ,-2.914117486768853,4578557872.0,0,-1.1226034983930482,0.9836928169107229,5,光电股份 (+0.6%),光电股份 (18.0亿)
基础建设,-2.3368358350748615,15232232750.0,1,-0.5453218466990568,1.036848428317622,15,天域生物 (+10.0%),中国能建 (62.9亿)
塑料,-2.786365642969606,21172502472.0,0,-0.9948516545938013,1.0514101204531219,5,德冠新材 (+1.5%),东材科技 (42.9亿)
多元金融,-1.4757434440097201,9187789448.0,1,0.31577054436608454,1.014492738992176,15,南华期货 (+10.0%),南华期货 (11.2亿)
家居用品,0.0688795110941706,7234404317.0,2,1.8603934994699753,1.0039225801610951,25,蒙娜丽莎 (+10.0%),双枪科技 (6.1亿)
家电零部件Ⅱ,-1.6087722313508088,15591956782.0,0,0.18274175702499584,1.0378806225403074,5,禾盛新材 (+4.6%),三花智控 (77.2亿)
小家电,-0.3936483062224374,2041472704.0,1,1.3978656821533673,0.9479745162056104,15,利仁科技 (+10.0%),科沃斯 (4.6亿)
小金属,-4.60684011230288,52636992156.0,0,-2.8153261239270755,1.0916833840127214,5,东方钽业 (+-0.0%),云南锗业 (100.6亿)
工业金属,-1.8917068438452092,67211047320.0,0,-0.10019285546940448,1.102491947293175,5,金田股份 (+5.1%),紫金矿业 (94.0亿)
工程咨询服务Ⅱ,-1.721304609780862,5605589809.0,0,0.0702093785949427,0.9926423825956517,5,*ST中设 (+1.6%),太极实业 (39.2亿)
工程机械,-2.1729702270719713,8986988624.0,0,-0.3814562386961666,1.0135155513492748,5,长龄液压 (+4.8%),三一重工 (17.6亿)
广告营销,-3.3580902712053775,7955320996.0,0,-1.5665762828295728,1.0081233170381139,5,三人行 (+0.4%),浙文互联 (13.9亿)
影视院线,-2.6902818423607866,2912826800.0,0,-0.8987678539849819,0.9636931779424915,5,中视传媒 (+1.6%),博纳影业 (7.5亿)
房地产开发,-2.3273777457893225,21889326166.0,1,-0.5358637574135179,1.0528825140624938,15,合肥城建 (+10.0%),合肥城建 (18.9亿)
房地产服务,-2.591705106528564,851414604.0,0,-0.8001911181527592,0.9093015563654137,5,南都物业 (+-0.4%),我爱我家 (2.5亿)
房屋建设Ⅱ,-1.7768261373159668,3816548956.0,0,0.014687851059837831,0.9756428383288192,5,高新发展 (+1.3%),高新发展 (14.8亿)
