代码,名称,板块,相关概念/板块,概念匹配说明,概念库命中数,涨跌幅(%),3日涨幅(%),5日涨幅(%),突破类型,增量倍数,今日成交额(亿)
301206,三元生物,化学制品,化学制品,化学制品同池4只/热度58.5/领涨三元生物,1,13.33,14.93,11.16,突破 13 天前高,12.09,3.69
603888,新华网,数字媒体,国企人工智能、数字媒体、AI营销,国企人工智能同池2只/热度40.8/领涨新华网；数字媒体同池2只/热度37.5/领涨新华网；AI营销同池1只/热度24.3/领涨新华网,3,5.97,8.83,5.85,突破 24 天前高,9.96,9.31
002095,生 意 宝,数字媒体,数字媒体,数字媒体同池2只/热度43.6/领涨新华网,1,9.98,11.1,8.52,突破 5 天前高,7.91,2.27
000928,中钢国际,专业工程,沙特合作概念、中字头概念,沙特合作概念同池2只/热度27.0/领涨中钢国际；中字头概念同池1只/热度20.5/领涨中钢国际,2,9.78,8.79,7.8,突破 5 天前高,6.65,4.62
002286,保龄宝,农产品加工,农产品加工,农产品加工同池3只/热度36.7/领涨保龄宝,1,9.99,14.91,9.6,突破 6 天前高,6.49,4.74
605300,佳禾食品,饮料乳品,外卖概念,外卖概念同池1只/热度17.5/领涨佳禾食品,1,7.15,10.64,4.66,突破 5 天前高,6.17,2.89
002815,崇达技术,元件,AI硬件,AI硬件同池4只/热度62.6/领涨崇达技术,3,7.0,16.47,18.0,突破 40 天前高,5.84,30.65
600318,新力金融,多元金融,多元金融,概念库未命中，回退到行业板块。,0,5.76,7.26,0.53,突破 5 天前高,5.02,6.18
001368,通达创智,文娱用品,关税战概念,关税战概念同池4只/热度45.5/领涨通达创智,3,5.02,5.46,6.21,突破 13 天前高,4.85,1.86
002383,合众思壮,军工电子Ⅱ,商业航天、低空经济,商业航天同池4只/热度52.3/领涨合众思壮；低空经济同池4只/热度49.4/领涨合众思壮,3,10.0,8.47,6.99,突破 4 天前高,4.37,2.72
000980,众泰汽车,汽车零部件,汽车零部件,概念库未命中，回退到行业板块。,0,10.18,10.84,5.75,突破 24 天前高,4.11,6.35
300061,旗天科技,广告营销,黑神话悟空概念,黑神话悟空概念同池2只/热度26.8/领涨中信出版,5,5.88,10.5,3.64,突破 19 天前高,4.09,5.71
600855,航天长峰,军工电子Ⅱ,AI硬件、商业航天,AI硬件同池4只/热度62.6/领涨崇达技术；商业航天同池4只/热度49.0/领涨合众思壮,4,5.4,4.34,6.32,突破 21 天前高,4.03,2.78
002093,国脉科技,教育,稳定币概念,稳定币概念同池1只/热度15.2/领涨国脉科技,1,10.01,10.97,9.54,突破 24 天前高,3.88,2.03
600596,新安股份,农化制品,涨价概念、农化制品、AI硬件,涨价概念同池8只/热度92.2/领涨新安股份；农化制品同池10只/热度96.8/领涨新安股份；AI硬件同池4只/热度62.6/领涨崇达技术,5,10.02,7.0,8.44,突破 39 天前高,3.87,14.06
603779,威龙股份,非白酒,非白酒,概念库未命中，回退到行业板块。,0,5.19,9.18,6.95,突破 36 天前高,3.84,3.63
603077,和邦生物,农化制品,农化制品,农化制品同池10只/热度96.8/领涨新安股份,5,10.0,10.0,4.12,突破 21 天前高,3.83,14.21
300788,中信出版,出版,国企人工智能,国企人工智能同池2只/热度47.0/领涨新华网,3,19.99,28.91,25.1,突破 15 天前高,3.8,4.55
002597,金禾实业,化学制品,涨价概念,涨价概念同池8只/热度105.7/领涨新安股份,2,4.48,8.84,5.47,突破 29 天前高,3.58,3.31
603599,广信股份,农化制品,农化制品,农化制品同池10只/热度127.1/领涨新安股份,1,6.04,7.75,8.78,突破 26 天前高,3.44,4.78
600372,中航机载,航空装备Ⅱ,商业航天,商业航天同池4只/热度52.3/领涨合众思壮,4,4.34,4.06,4.89,突破 24 天前高,3.34,7.36
300387,富邦科技,农化制品,农化制品,概念库未命中，回退到行业板块。,0,5.08,8.83,4.56,突破 7 天前高,3.31,2.37
000737,北方铜业,工业金属,涨价概念,涨价概念同池8只/热度105.7/领涨新安股份,2,9.14,5.11,1.69,突破 9 天前高,3.23,35.56
002999,天禾股份,农化制品,农化制品,农化制品同池10只/热度127.1/领涨新安股份,1,10.0,11.67,10.66,突破 4 天前高,3.05,3.47
603083,剑桥科技,通信设备,AI硬件,AI硬件同池4只/热度62.6/领涨崇达技术,3,6.89,18.82,19.98,突破 39 天前高,2.93,104.13
002457,青龙管业,装修建材,西藏水电概念,西藏水电概念同池1只/热度11.2/领涨青龙管业,3,5.86,6.56,10.03,突破 40 天前高,2.8,6.41
300505,川金诺,农化制品,涨价概念、农化制品,涨价概念同池8只/热度105.7/领涨新安股份；农化制品同池10只/热度109.8/领涨新安股份,3,12.86,13.58,7.6,突破 7 天前高,2.72,11.74
002349,精华制药,中药Ⅱ,共聚聚甲醛,共聚聚甲醛同池1只/热度14.0/领涨精华制药,1,10.07,7.26,0.72,突破 5 天前高,2.67,6.54
300939,秋田微,光学光电子,光学光电子,光学光电子同池3只/热度28.8/领涨秋田微,1,7.72,13.53,15.83,突破 16 天前高,2.65,4.32
600470,六国化工,农化制品,农化制品,概念库未命中，回退到行业板块。,0,8.32,9.27,3.94,突破 5 天前高,2.53,5.1
000564,供销大集,一般零售,海南封关概念,海南封关概念同池1只/热度10.3/领涨供销大集,1,4.24,7.5,3.61,突破 5 天前高,2.49,15.82
002312,川发龙蟒,农化制品,涨价概念、农化制品,涨价概念同池8只/热度105.7/领涨新安股份；农化制品同池10只/热度109.8/领涨新安股份,3,10.01,10.27,6.62,突破 5 天前高,2.48,4.1
002470,金正大,农化制品,农化制品,农化制品同池10只/热度127.1/领涨新安股份,1,10.0,22.22,9.05,突破 5 天前高,2.41,8.1
600486,扬农化工,农化制品,农化制品、涨价概念,农化制品同池10只/热度118.4/领涨新安股份；涨价概念同池8只/热度105.7/领涨新安股份,2,4.69,6.61,4.89,突破 28 天前高,2.39,5.9
000560,我爱我家,房地产服务,地产链,地产链同池2只/热度26.7/领涨我爱我家,1,9.9,20.28,7.84,突破 5 天前高,2.36,21.71
002696,百洋股份,饲料,预制菜,预制菜同池1只/热度12.0/领涨百洋股份,2,8.96,20.78,6.18,突破 5 天前高,2.31,3.21
002246,北化股份,化学制品,化学制品,化学制品同池4只/热度50.5/领涨三元生物,3,5.49,5.15,8.73,突破 20 天前高,2.28,5.08
600251,冠农股份,农产品加工,农产品加工,概念库未命中，回退到行业板块。,0,5.76,12.32,3.02,突破 7 天前高,2.26,6.56
002562,兄弟科技,化学制品,化学制品,化学制品同池4只/热度50.5/领涨三元生物,3,5.23,7.19,4.19,突破 19 天前高,2.22,2.76
001338,永顺泰,农产品加工,农产品加工,农产品加工同池3只/热度34.2/领涨保龄宝,2,4.79,8.85,5.24,突破 14 天前高,2.16,2.26
002285,世联行,房地产服务,地产链,地产链同池2只/热度26.7/领涨我爱我家,1,10.17,14.54,9.24,突破 6 天前高,2.04,3.29
000833,粤桂股份,综合Ⅱ,涨价概念,涨价概念同池8只/热度105.7/领涨新安股份,2,10.02,14.9,8.46,突破 15 天前高,2.04,8.73
000878,云南铜业,工业金属,涨价概念,涨价概念同池8只/热度105.7/领涨新安股份,3,4.64,3.11,3.22,突破 7 天前高,2.0,14.95
000998,隆平高科,种植业,关税战概念,关税战概念同池4只/热度45.5/领涨通达创智,2,5.58,11.57,2.51,突破 5 天前高,1.97,11.91
601952,苏垦农发,种植业,关税战概念,关税战概念同池4只/热度45.5/领涨通达创智,1,9.97,15.11,7.19,突破 5 天前高,1.86,5.85
600256,广汇能源,炼化及贸易,炼化及贸易,概念库未命中，回退到行业板块。,0,7.16,7.97,6.21,突破 6 天前高,1.83,14.33
001210,金房能源,电力,电力,电力同池2只/热度22.3/领涨远东股份,1,6.93,2.72,4.86,突破 4 天前高,1.82,4.27
600869,远东股份,电网设备,商业航天,商业航天同池4只/热度52.3/领涨合众思壮,9,7.23,6.13,26.0,突破 40 天前高,1.79,64.35
600598,北大荒,种植业,关税战概念,关税战概念同池4只/热度45.5/领涨通达创智,1,5.26,10.74,1.15,突破 14 天前高,1.79,14.59
000923,河钢资源,冶钢原料,金属铜,金属铜同池4只/热度50.1/领涨和邦生物,1,4.54,6.01,1.89,突破 5 天前高,1.73,3.84
603619,中曼石油,油服工程,石油油气,石油油气同池2只/热度21.0/领涨中曼石油,1,9.98,11.11,3.58,突破 6 天前高,1.72,11.18
