代码,名称,板块,相关概念/板块,概念匹配说明,概念库命中数,涨跌幅(%),3日涨幅(%),5日涨幅(%),增量倍数,今日成交额(亿),常态均额(亿),逻辑标签
300937,药易购,医药商业,医药商业,概念库未命中，回退到行业板块。,0,9.26,29.72,30.99,10.43,4.76,0.46,强势放量突破
300692,中赋科技,环境治理,环境治理,概念库未命中，回退到行业板块。,0,18.22,18.22,18.07,9.8,9.6,0.98,强势放量突破
003020,立方制药,化学制药,化学制药,概念库未命中，回退到行业板块。,0,5.34,16.92,41.45,7.84,9.71,1.24,强势放量突破
000989,九芝堂,中药Ⅱ,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,5.49,22.43,21.68,7.83,11.75,1.5,强势放量突破
001388,信通电子,电网设备,电网设备,概念库未命中，回退到行业板块。,0,9.99,33.08,38.94,7.14,3.59,0.5,强势放量突破
600992,贵绳股份,通用设备,通用设备,通用设备同池4只/热度59.0/领涨铂力特,1,7.58,6.57,28.98,6.41,4.27,0.67,强势放量突破
300231,银信科技,IT服务Ⅱ,字节跳动概念,字节跳动概念同池5只/热度60.5/领涨银信科技,1,19.95,15.96,17.77,6.16,4.46,0.73,强势放量突破
002412,汉森制药,中药Ⅱ,中药Ⅱ,概念库未命中，回退到行业板块。,0,9.49,13.5,15.82,6.04,4.18,0.69,强势放量突破
301381,赛维时代,互联网电商,出海,出海同池9只/热度102.0/领涨赛维时代,1,12.04,18.78,18.07,5.97,4.97,0.83,强势放量突破
603367,辰欣药业,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度425.3/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,4.17,14.99,17.39,5.27,7.4,1.4,趋势放量异动
300519,新光药业,中药Ⅱ,中药Ⅱ,概念库未命中，回退到行业板块。,0,5.68,13.29,15.04,5.06,2.08,0.41,强势放量突破
600746,江苏索普,化学原料,涨价概念、化学原料,涨价概念同池3只/热度42.7/领涨江苏索普；化学原料同池4只/热度46.2/领涨江苏索普,1,9.93,19.73,19.51,4.82,2.78,0.58,强势放量突破
688621,阳光诺和,医疗服务,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,3,14.44,12.38,18.13,4.82,6.31,1.31,强势放量突破
002379,宏桥控股,工业金属,工业金属,概念库未命中，回退到行业板块。,0,6.69,29.13,31.87,4.74,23.06,4.87,强势放量突破
600829,人民同泰,医药商业,医药商业,概念库未命中，回退到行业板块。,0,10.01,21.2,23.16,4.52,2.37,0.52,强势放量突破
603882,金域医学,医疗服务,医疗服务,医疗服务同池20只/热度254.2/领涨万邦医药,1,3.85,13.89,22.13,4.31,6.72,1.56,趋势放量异动
603137,恒尚节能,装修装饰Ⅱ,装修装饰Ⅱ,概念库未命中，回退到行业板块。,0,10.01,33.12,55.43,4.3,10.43,2.43,强势放量突破
688321,微芯生物,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度425.3/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,12.58,14.56,20.47,4.24,14.27,3.36,强势放量突破
600513,联环药业,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度425.3/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,7.46,23.63,32.53,4.15,9.73,2.35,强势放量突破
002582,好想你,休闲食品,关税战概念、复苏消费概念,关税战概念同池15只/热度176.9/领涨幸福蓝海；复苏消费概念同池21只/热度189.8/领涨新华百货,4,6.32,10.28,11.54,4.14,4.55,1.1,强势放量突破
688488,艾迪药业,生物制品,生物制品,概念库未命中，回退到行业板块。,0,9.22,19.9,21.09,4.13,6.15,1.49,强势放量突破
600844,金煤科技,化学原料,化学原料,概念库未命中，回退到行业板块。,0,10.0,17.39,21.72,4.12,2.64,0.64,强势放量突破
301062,上海艾录,包装印刷,包装印刷,概念库未命中，回退到行业板块。,0,10.62,9.46,8.13,4.09,1.9,0.46,强势放量突破
000739,普洛药业,化学制药,化学制药,化学制药同池38只/热度425.3/领涨迪哲医药-U,1,7.23,13.72,15.06,3.96,9.98,2.52,强势放量突破
688189,南新制药,化学制药,化学制药,概念库未命中，回退到行业板块。,0,3.9,24.61,28.21,3.81,1.57,0.41,趋势放量异动
002166,莱茵生物,化学制品,合成生物,合成生物同池7只/热度84.3/领涨美诺华,1,7.74,9.78,11.0,3.73,2.59,0.69,强势放量突破
688293,奥浦迈,生物制品,生物制品,概念库未命中，回退到行业板块。,0,5.78,11.49,31.59,3.5,4.19,1.2,强势放量突破
300528,幸福蓝海,影视院线,关税战概念,关税战概念同池15只/热度176.9/领涨幸福蓝海,1,19.99,6.86,21.97,3.5,6.33,1.81,强势放量突破
600116,三峡水利,电力,电力,电力同池5只/热度49.3/领涨三峡水利,2,6.35,8.01,7.83,3.47,3.19,0.92,强势放量突破
300369,绿盟科技,软件开发,软件开发,软件开发同池4只/热度34.6/领涨绿盟科技,2,7.63,13.16,15.43,3.45,8.93,2.59,强势放量突破
605090,九丰能源,燃气Ⅱ,商业航天,商业航天同池4只/热度48.6/领涨铂力特,2,5.58,9.53,24.11,3.33,26.31,7.91,强势放量突破
301408,华人健康,医药商业,医药商业,概念库未命中，回退到行业板块。,0,3.72,10.91,13.71,3.29,6.71,2.04,趋势放量异动
600785,新华百货,一般零售,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,1,10.0,-10.94,-10.75,3.26,2.25,0.69,强势放量突破
002593,日上集团,专业工程,海峡两岸,海峡两岸同池6只/热度56.3/领涨日上集团,2,6.16,5.38,7.48,3.19,1.77,0.55,强势放量突破
603387,基蛋生物,医疗器械,医疗器械,概念库未命中，回退到行业板块。,0,10.01,11.47,13.39,3.17,2.31,0.73,强势放量突破
002923,润都股份,化学制药,化学制药,化学制药同池38只/热度425.3/领涨迪哲医药-U,1,6.97,10.68,14.22,3.17,3.9,1.23,强势放量突破
301665,泰禾股份,农化制品,农化制品,概念库未命中，回退到行业板块。,0,4.19,8.09,4.97,3.15,2.33,0.74,趋势放量异动
600227,赤天化,农化制品,农化制品、干细胞概念,农化制品同池4只/热度42.4/领涨赤天化；干细胞概念同池2只/热度33.2/领涨阳光诺和,2,10.19,14.06,21.67,3.15,4.79,1.52,强势放量突破
600037,歌华有线,电视广播Ⅱ,电视广播Ⅱ,概念库未命中，回退到行业板块。,0,7.26,7.09,8.45,3.11,2.82,0.91,强势放量突破
688046,药康生物,医疗服务,医疗服务,概念库未命中，回退到行业板块。,0,17.02,13.16,23.81,3.01,6.79,2.25,强势放量突破
300146,汤臣倍健,食品加工,生育概念,生育概念同池8只/热度76.5/领涨众生药业,2,6.29,7.09,8.37,3.0,3.32,1.11,强势放量突破
600535,天士力,中药Ⅱ,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,2,4.8,8.59,8.75,2.95,5.04,1.71,趋势放量异动
603196,璞源材料,服装家纺,服装家纺,概念库未命中，回退到行业板块。,0,10.01,9.4,8.31,2.95,1.73,0.59,强势放量突破
300683,海特生物,医疗服务,创新药进度整理、医疗服务,创新药进度整理同池26只/热度302.3/领涨阳光诺和；医疗服务同池20只/热度254.2/领涨万邦医药,1,16.51,13.81,19.0,2.86,5.43,1.9,强势放量突破
002847,盐津铺子,休闲食品,关税战概念、复苏消费概念,关税战概念同池15只/热度176.9/领涨幸福蓝海；复苏消费概念同池21只/热度189.8/领涨新华百货,3,8.41,6.2,3.49,2.86,3.68,1.29,强势放量突破
300551,古鳌科技,计算机设备,计算机设备,概念库未命中，回退到行业板块。,0,12.57,5.52,11.94,2.85,2.39,0.84,强势放量突破
603669,灵康药业,化学制药,化学制药,概念库未命中，回退到行业板块。,0,9.59,31.23,34.27,2.84,7.85,2.77,强势放量突破
002250,联化科技,农化制品,农化制品,农化制品同池4只/热度42.4/领涨赤天化,2,7.75,13.39,14.91,2.81,8.1,2.88,强势放量突破
600390,五矿资本,多元金融,大金融、国企重组合并,大金融同池3只/热度33.1/领涨中金公司；国企重组合并同池3只/热度28.3/领涨银宝山新,2,4.88,4.0,5.33,2.77,4.31,1.56,趋势放量异动
000888,峨眉山Ａ,旅游及景区,旅游及景区,概念库未命中，回退到行业板块。,0,5.38,5.84,5.5,2.77,1.87,0.67,强势放量突破
300759,康龙化成,医疗服务,医疗服务,概念库未命中，回退到行业板块。,0,9.13,18.74,32.96,2.76,64.21,23.28,强势放量突破
600739,辽宁成大,生物制品,生物制品,概念库未命中，回退到行业板块。,0,7.04,8.42,9.39,2.65,3.91,1.47,强势放量突破
605189,富春染织,纺织制造,人形机器人,人形机器人同池4只/热度41.0/领涨富春染织,1,9.99,11.95,13.33,2.65,5.57,2.1,强势放量突破
300896,爱美客,医疗美容,关税战概念、复苏消费概念、减肥药概念,关税战概念同池15只/热度176.9/领涨幸福蓝海；复苏消费概念同池21只/热度177.3/领涨新华百货；减肥药概念同池13只/热度140.2/领涨常山药业,4,9.11,5.47,8.59,2.65,8.45,3.19,强势放量突破
