代码,名称,板块,涨跌幅(%),增量倍数,今日成交额(亿),常态均额(亿),入选逻辑
603052,可川科技,消费电子,10.0,1.11,8.23,7.43,回调二波起涨
001309,德明利,半导体,6.79,1.21,98.44,81.37,回调二波起涨
003022,联泓新科,光伏设备,6.32,1.32,10.36,7.86,回调二波起涨
000811,冰轮环境,通用设备,5.97,1.29,15.53,12.06,回调二波起涨
600961,株冶集团,工业金属,5.58,1.26,28.03,22.28,回调二波起涨
000949,新乡化纤,化学纤维,5.12,1.26,6.64,5.25,回调二波起涨
002885,京泉华,其他电子Ⅱ,4.82,1.59,15.14,9.53,回调二波起涨
600172,黄河旋风,通用设备,4.73,2.55,29.06,11.39,回调二波起涨
002290,禾盛新材,家电零部件Ⅱ,4.71,2.04,23.65,11.61,回调二波起涨
603916,苏博特,水泥,4.3,1.1,2.49,2.25,回调二波起涨
600703,三安光电,光学光电子,4.28,1.21,53.75,44.41,回调二波起涨
601991,大唐发电,电力,4.21,8.13,110.88,13.64,回调二波起涨
600500,中化国际,化学制品,4.21,4.28,10.26,2.4,回调二波起涨
600769,祥龙电业,环境治理,4.14,1.81,5.67,3.12,回调二波起涨
001223,欧克科技,自动化设备,4.06,2.89,2.32,0.8,回调二波起涨
002281,光迅科技,通信设备,4.05,1.16,128.64,111.06,回调二波起涨
600707,彩虹股份,光学光电子,4.02,1.78,25.44,14.31,回调二波起涨
600158,中体产业,体育Ⅱ,4.01,1.22,11.98,9.84,回调二波起涨
603938,三孚股份,化学原料,3.98,1.85,12.84,6.96,回调二波起涨
002575,群兴玩具,文娱用品,3.77,2.42,9.7,4.01,回调二波起涨
600206,有研新材,半导体,3.76,1.13,30.33,26.76,回调二波起涨
002979,雷赛智能,自动化设备,3.7,1.67,9.44,5.66,回调二波起涨
002810,山东赫达,化学制品,3.63,1.8,7.34,4.09,回调二波起涨
000060,中金岭南,工业金属,3.61,1.33,23.89,17.9,回调二波起涨
603070,万控智造,电网设备,3.59,8.29,4.56,0.55,回调二波起涨
601777,千里科技,摩托车及其他,3.54,1.95,10.38,5.32,回调二波起涨
605298,必得科技,轨交设备Ⅱ,3.5,1.12,2.0,1.78,回调二波起涨
600308,华泰股份,造纸,3.39,1.26,1.12,0.88,回调二波起涨
000678,襄阳轴承,汽车零部件,3.33,2.44,5.16,2.11,回调二波起涨
002520,日发精机,通用设备,3.28,2.05,4.92,2.4,回调二波起涨
002409,雅克科技,半导体,3.27,2.32,31.84,13.71,回调二波起涨
002364,中恒电气,其他电源设备Ⅱ,3.18,1.24,35.29,28.57,回调二波起涨
002009,天奇股份,专用设备,3.17,2.0,14.28,7.14,回调二波起涨
600475,华光环能,电力,3.05,4.31,8.71,2.02,回调二波起涨
002034,旺能环境,环境治理,3.03,1.98,7.72,3.9,回调二波起涨
605186,健麾信息,自动化设备,2.89,2.84,2.23,0.78,回调二波起涨
002993,奥海科技,消费电子,2.85,2.32,8.12,3.51,回调二波起涨
002623,亚玛顿,光伏设备,2.84,2.78,4.01,1.44,回调二波起涨
600076,康欣新材,包装印刷,2.83,6.18,6.31,1.02,回调二波起涨
000697,炼石航空,航空装备Ⅱ,2.75,1.37,2.2,1.61,回调二波起涨
002015,协鑫能科,电力,2.61,2.03,68.04,33.5,回调二波起涨
600207,安彩高科,光伏设备,2.59,1.64,3.25,1.98,回调二波起涨
002506,协鑫集成,光伏设备,10.11,1.95,36.57,18.74,强势放量突破
002124,天邦食品,养殖业,10.04,1.45,8.66,5.97,强势放量突破
603717,天域生物,基础建设,10.03,2.43,1.99,0.82,强势放量突破
600578,京能电力,电力,10.02,4.6,13.16,2.86,强势放量突破
002132,恒星科技,通用设备,10.02,1.55,8.21,5.28,强势放量突破
002971,和远气体,化学制品,10.01,1.65,5.38,3.27,强势放量突破
600509,天富能源,电力,10.01,2.75,8.94,3.25,强势放量突破
